name,prod_name,prod_desc,category,price,sub_category,prod_img
1,Square Framed Black Diamond Wedding Band,A beautiful Dora men's square framed black diamond wedding band with a center frame filled with black diamonds for a classic look.,Mens,2215,14 K White Gold ,images/img1.jpg
2,Square Framed Black Diamond Wedding Band,A beautiful Dora men's square framed black diamond wedding band with a center frame filled with black diamonds for a classic look.,Mens,3150,18 K White Gold ,img1
3,Engraved Diamond Wedding Band,This Dora men's engraved diamond wedding band features an ornate design with an intricate engraving and round diamond accents.,Mens,2765,14 K White Gold ,img1
4,Engraved Diamond Wedding Band,This Dora men's engraved diamond wedding band features an ornate design with an intricate engraving and round diamond accents.,Mens,3515,18 K White Gold ,img1
5,Black Diamond Trim Wedding Band,A Dora men's black diamond trim wedding band with a brushed white gold finish and a black diamond trim in the center.,Mens,1500,14 K White Gold ,img1
6,Black Diamond Trim Wedding Band,A Dora men's black diamond trim wedding band with a brushed white gold finish and a black diamond trim in the center.,Mens,1990,18 K White Gold ,img1
7,Black Diamond Trim Wedding Band,A Dora men's black diamond trim wedding band with a brushed white gold finish and a black diamond trim in the center.,Mens,2450,Platinum,img4
8,Diamond Wedding Band 1841G,Men's White Gold Diamond Wedding Band 1841G,Mens,2480,14 K White Gold,img1
9,Diamond Wedding Band 1841G,Men's White Gold Diamond Wedding Band 1841G,Mens,2480,14 K Yellow Gold,img3
10,Diamond Wedding Band 1841G,Men's White Gold Diamond Wedding Band 1841G,Mens,2480,14 K Rose Gold,img2
11,Diamond Wedding Band 1841G,Men's White Gold Diamond Wedding Band 1841G,Mens,3265,18 K White Gold,img1
12,Diamond Wedding Band 1841G,Men's White Gold Diamond Wedding Band 1841G,Mens,3265,18 K Yellow Gold,img3
13,Diamond Wedding Band 1841G,Men's White Gold Diamond Wedding Band 1841G,Mens,3265,18 K Rose Gold,img2
14,Diamond Wedding Band 1841G,Men's White Gold Diamond Wedding Band 1841G,Mens,3975,Platinum,img4
15,3 Row Black Diamond Wedding Band,A stunning Dora men's 3 row black diamond wedding band with rows of shared prong set black diamonds adorning the center for a stylish look that will turn heads.,Mens,3125,14 K White Gold ,img1
16,3 Row Black Diamond Wedding Band,A stunning Dora men's 3 row black diamond wedding band with rows of shared prong set black diamonds adorning the center for a stylish look that will turn heads.,Mens,3890,18 K White Gold ,img1
17,Men's Simple Domed Wedding Band,This Dora men's simple domed wedding band features chic polished tantalum that will never be out of style.,Mens,240,14 K White Gold,img1
18,Men's Simple Domed Wedding Band,This Dora men's simple domed wedding band features chic polished tantalum that will never be out of style.,Mens,3890,18 K White Gold,img1
19,Diamond Wedding Band 4345W,White Gold Diamond Wedding Band 4345W,Womens,2145,14 K White Gold,img1
20,Diamond Wedding Band 4345W,White Gold Diamond Wedding Band 4345W,Womens,2145,14 K Rose Gold,img2
21,Diamond Wedding Band 4345W,White Gold Diamond Wedding Band 4345W,Womens,2145,14 K Yellow Gold,img3
22,Diamond Wedding Band 4345W,White Gold Diamond Wedding Band 4345W,Womens,2535,18 K White Gold,img1
23,Diamond Wedding Band 4345W,White Gold Diamond Wedding Band 4345W,Womens,2535,18 K Rose Gold,img2
24,Diamond Wedding Band 4345W,White Gold Diamond Wedding Band 4345W,Womens,2535,18 K Yellow Gold,img3
25,Diamond Wedding Band 4345W,White Gold Diamond Wedding Band 4345W,Womens,2890,platinum,img4
26,Men's Trim Wedding Band,A Dora men's trim wedding band with brushed tantalum and a simple center trim.,Mens,325,14 K White Gold,img1
27,Men's Rose Gold Criss Cross Wedding Band,A unique satin finished Dora men's rose gold criss cross wedding band featuring carbon fiber and a stunning criss cross design that will truly be a conversation starter.,Mens,1140,14 K Rose Gold,img2
28,Men's Polished Edge Wedding Band,"This stunning Dora men's polished edge wedding band features brushed tantalum with polished edges, a classic you can never go wrong with.",Mens,240,14 K White Gold,img1
29,Offset Black Diamond Wedding Band,A classic Dora men's offset black diamond wedding band with a brushed white gold finish and a thin offset trim of black diamonds.,Mens,2325,14 K White Gold ,img1
30,Offset Black Diamond Wedding Band,A classic Dora men's offset black diamond wedding band with a brushed white gold finish and a thin offset trim of black diamonds.,Mens,3125,18 K White Gold ,img1
31,Mens Black Wedding Band,A Dora mens black wedding band with warm yellow gold edges and brushed carbon fiber. A classic that will surely never go out of style.,Mens,725,14 K Yellow Gold,img3
32,Men's Beveled Edge Wedding Band,This classic yet sleek Dora men's beveled edge wedding band features a white gold band with carbon fiber accents. A perfect ring choice for minimalists.,Mens,800,14 K White Gold,img1
33,Men's Modern Wedding Band,A modern yet timeless Dora men's wedding band featuring white gold and a carbon fiber trim that you can never go wrong with.,Mens,950,14 K White Gold,img1
34,Men's Rose Gold Wedding Band,A stunning comfort fit Dora men's rose gold wedding band with brushed carbon fiber and polished rose gold edges that will surely stay on trend.,Mens,850,14 K Rose Gold,img2
35,Link Diamond Wedding Band,This Dora men's link diamond wedding band design is inspired by the elegance of watch links with an added sparkle of round diamonds.,Mens,4190,14 K White Gold ,img1
36,Link Diamond Wedding Band,This Dora men's link diamond wedding band design is inspired by the elegance of watch links with an added sparkle of round diamonds.,Mens,5025,18 K White Gold ,img1
37,Men's Beveled Edge Rose Gold Wedding Band,"Classic Dora men's beveled edge rose gold wedding band with brushed carbon figer and rose gold with beveled edges. A simple, but timeless piece.",Mens,790,14 K Rose Gold,img2
38,Men's Bezel Diamond Wedding Band,This modern Dora men's bezel diamond wedding band features carbon fiber with polished white gold detailing and a round diamond. The perfect ratio of sleek and classy.,Mens,1015,14 K White Gold,img1
39,Men's 3 Stone Bezel Diamond Wedding Band,This beautiful Dora men's 3 stone bezel diamond wedding band features carbon fiber and white gold with 3 bezel set diamonds.,Mens,1240,14 k White Gold,img1
40,Men's Thick Rose Gold Wedding Band,This simple yet bold Dora men's thick rose gold wedding band features brushed carbon fiber and polished rose gold edges.,Mens,990,14 k Rose Gold,img2
41,Men's Rose Gold And Carbon Fiber Trim Wedding Band,A comfort fit Dora men's rose gold and carbon fiber trim wedding band featuring tantalum with a rose gold center trim and 2 equally spaced carbon fiber trims.,Mens,825,14 k Rose Gold,img2
42,Men's Milgrain Rose Gold Wedding Band,"A beautiful Dora men's milgrain wedding band with brushed carbon fiber, subtle milgrain detailing and polished rose gold.",Mens,865,14 k Rose Gold,img2
43,Men's Inlay Yellow Gold Wedding Band,"A unique Dora men's inlay yellow gold wedding band with double carbon fiber inlays and yellow gold for those who want something different, but simple.",Mens,1075,14 k Yellow Gold,img3
44,Unique Men's Diamond Wedding Band,This Dora unique men's diamond wedding band features a raised center pattern and round diamonds for a special elegant look.,Mens,2175,14 K White Gold ,img1
45,Unique Men's Diamond Wedding Band,This Dora unique men's diamond wedding band features a raised center pattern and round diamonds for a special elegant look.,Mens,2990,18 K White Gold ,img1
46,Unique Men's Diamond Wedding Band,This Dora unique men's diamond wedding band features a raised center pattern and round diamonds for a special elegant look.,Mens,3665,platinum,img4
47,Three Row Diamond Wedding Band,This three row diamond wedding band features channel set diamonds in the center surrounded by two rows of pave set diamonds and a milgrain finish for a stunning look.,Womens,3530,14 K White Gold,img1
48,Three Row Diamond Wedding Band,This three row diamond wedding band features channel set diamonds in the center surrounded by two rows of pave set diamonds and a milgrain finish for a stunning look.,Womens,3530,14 K  Rose Gold,img2
49,Three Row Diamond Wedding Band,This three row diamond wedding band features channel set diamonds in the center surrounded by two rows of pave set diamonds and a milgrain finish for a stunning look.,Womens,3530,14 K Yellow Gold,img3
50,Three Row Diamond Wedding Band,This three row diamond wedding band features channel set diamonds in the center surrounded by two rows of pave set diamonds and a milgrain finish for a stunning look.,Womens,4050,18 K Rose Gold,img2
51,Three Row Diamond Wedding Band,This three row diamond wedding band features channel set diamonds in the center surrounded by two rows of pave set diamonds and a milgrain finish for a stunning look.,Womens,4050,18 K White Gold,img1
52,Three Row Diamond Wedding Band,This three row diamond wedding band features channel set diamonds in the center surrounded by two rows of pave set diamonds and a milgrain finish for a stunning look.,Womens,4050,18 K  Yellow Gold,img3
53,Three Row Diamond Wedding Band,This three row diamond wedding band features channel set diamonds in the center surrounded by two rows of pave set diamonds and a milgrain finish for a stunning look.,Womens,4525,platinum,img4
54,Three Row Blue And White Diamond Wedding Band,This three row blue and white diamond wedding band features channel set blue diamonds in the center surrounded by two rows of pave set white diamonds and a milgrain finish for a stunning look.,Womens,3615,14 K White Gold,img1
55,Three Row Blue And White Diamond Wedding Band,This three row blue and white diamond wedding band features channel set blue diamonds in the center surrounded by two rows of pave set white diamonds and a milgrain finish for a stunning look.,Womens,4140,18 K White Gold,img1
56,Three Row Blue And White Diamond Wedding Band,This three row blue and white diamond wedding band features channel set blue diamonds in the center surrounded by two rows of pave set white diamonds and a milgrain finish for a stunning look.,Womens,4610,platinum,img4
57,Three Row Black And White Diamond Wedding Band,This three row black and white diamond wedding band features channel set black diamonds in the center surrounded by two rows of pave set white diamonds and a milgrain finish for a stunning look.,Womens,3155,14 K White Gold,img1
58,Three Row Black And White Diamond Wedding Band,This three row black and white diamond wedding band features channel set black diamonds in the center surrounded by two rows of pave set white diamonds and a milgrain finish for a stunning look.,Womens,3675,18 K White Gold,img1
59,Three Row Black And White Diamond Wedding Band,This three row black and white diamond wedding band features channel set black diamonds in the center surrounded by two rows of pave set white diamonds and a milgrain finish for a stunning look.,Womens,4150,platinum,img4